FeatureCode,DateCode,Measurement,Units,Value,Region of Residence,Breakdown of Domestic Tourism
S12000008,2010-2012,Count,million pounds (GBP),4,England,Expenditure
S12000008,2017-2019,Count,Thousand Visits,45,England,Visits
S12000008,2015-2017,Count,million pounds (GBP),4,England,Expenditure
S12000008,2012-2014,Count,Thousand Visits,61,All of GB,Visits
S12000008,2013-2015,Count,Thousand Visits,32,Scotland,Visits
S12000008,2017-2019,Count,million pounds (GBP),16,All of GB,Expenditure
S12000008,2015-2017,Count,Thousand Visits,35,England,Visits
S12000008,2017-2019,Count,million pounds (GBP),8,Scotland,Expenditure
S12000008,2010-2012,Count,Thousand Nights,81,England,Nights
S12000008,2010-2012,Count,Thousand Visits,70,All of GB,Visits
S12000008,2016-2018,Count,Thousand Nights,214,All of GB,Nights
S12000008,2012-2014,Count,million pounds (GBP),11,All of GB,Expenditure
S12000008,2013-2015,Count,Thousand Visits,62,All of GB,Visits
S12000008,2009-2011,Count,Thousand Visits,37,England,Visits
S12000008,2009-2011,Count,Thousand Visits,85,All of GB,Visits
S12000008,2011-2013,Count,Thousand Nights,102,England,Nights
S12000008,2016-2018,Count,million pounds (GBP),7,Scotland,Expenditure
S12000008,2015-2017,Count,Thousand Nights,117,England,Nights
S12000008,2015-2017,Count,Thousand Nights,174,All of GB,Nights
S12000008,2013-2015,Count,Thousand Nights,61,Scotland,Nights
S12000008,2009-2011,Count,Thousand Nights,198,England,Nights
S12000008,2012-2014,Count,Thousand Nights,154,All of GB,Nights
S12000008,2011-2013,Count,Thousand Nights,52,Scotland,Nights
S12000008,2015-2017,Count,million pounds (GBP),7,Scotland,Expenditure
S12000008,2009-2011,Count,Thousand Visits,48,Scotland,Visits
S12000008,2012-2014,Count,Thousand Nights,58,Scotland,Nights
S12000008,2009-2011,Count,million pounds (GBP),4,Scotland,Expenditure
S12000008,2013-2015,Count,million pounds (GBP),5,Scotland,Expenditure
S12000008,2011-2013,Count,Thousand Visits,69,All of GB,Visits
S12000008,2011-2013,Count,million pounds (GBP),9,All of GB,Expenditure
S12000008,2009-2011,Count,Thousand Nights,173,Scotland,Nights
S12000008,2010-2012,Count,Thousand Visits,36,Scotland,Visits
S12000008,2011-2013,Count,million pounds (GBP),3,Scotland,Expenditure
S12000008,2017-2019,Count,Thousand Nights,167,England,Nights
S12000008,2016-2018,Count,Thousand Visits,40,England,Visits
S12000008,2016-2018,Count,Thousand Nights,38,Scotland,Nights
S12000008,2017-2019,Count,Thousand Nights,223,All of GB,Nights
S12000008,2014-2016,Count,Thousand Nights,84,England,Nights
S12000008,2012-2014,Count,million pounds (GBP),6,Scotland,Expenditure
S12000008,2010-2012,Count,million pounds (GBP),4,Scotland,Expenditure
S12000008,2013-2015,Count,Thousand Nights,105,England,Nights
S12000008,2017-2019,Count,million pounds (GBP),8,England,Expenditure
S12000008,2015-2017,Count,Thousand Nights,41,Scotland,Nights
S12000008,2017-2019,Count,Thousand Nights,49,Scotland,Nights
S12000008,2015-2017,Count,Thousand Visits,22,Scotland,Visits
S12000008,2013-2015,Count,Thousand Nights,166,All of GB,Nights
S12000008,2014-2016,Count,Thousand Nights,130,All of GB,Nights
S12000008,2011-2013,Count,Thousand Nights,155,All of GB,Nights
S12000008,2012-2014,Count,Thousand Visits,31,Scotland,Visits
S12000008,2014-2016,Count,million pounds (GBP),4,Scotland,Expenditure
S12000008,2010-2012,Count,Thousand Visits,33,England,Visits
S12000008,2009-2011,Count,million pounds (GBP),5,England,Expenditure
S12000008,2017-2019,Count,Thousand Visits,21,Scotland,Visits
S12000008,2010-2012,Count,Thousand Nights,100,Scotland,Nights
S12000008,2011-2013,Count,Thousand Visits,35,England,Visits
S12000008,2016-2018,Count,Thousand Visits,19,Scotland,Visits
S12000008,2014-2016,Count,Thousand Visits,49,All of GB,Visits
S12000008,2015-2017,Count,Thousand Visits,59,All of GB,Visits
S12000008,2011-2013,Count,Thousand Visits,33,Scotland,Visits
S12000008,2014-2016,Count,Thousand Visits,22,Scotland,Visits
S12000008,2014-2016,Count,Thousand Nights,46,Scotland,Nights
S12000008,2013-2015,Count,million pounds (GBP),10,All of GB,Expenditure
S12000008,2009-2011,Count,Thousand Nights,372,All of GB,Nights
S12000008,2012-2014,Count,Thousand Nights,95,England,Nights
S12000008,2010-2012,Count,Thousand Nights,182,All of GB,Nights
S12000008,2016-2018,Count,Thousand Visits,60,All of GB,Visits
S12000008,2010-2012,Count,million pounds (GBP),8,All of GB,Expenditure
S12000008,2009-2011,Count,million pounds (GBP),9,All of GB,Expenditure
S12000010,2012-2014,Count,Thousand Visits,80,England,Visits
S12000010,2013-2015,Count,Thousand Visits,168,All of GB,Visits
S12000010,2011-2013,Count,Thousand Visits,132,Scotland,Visits
S12000010,2012-2014,Count,million pounds (GBP),33,All of GB,Expenditure
S12000010,2010-2012,Count,Thousand Visits,212,All of GB,Visits
S12000010,2011-2013,Count,Thousand Nights,430,England,Nights
S12000010,2016-2018,Count,million pounds (GBP),17,England,Expenditure
S12000010,2017-2019,Count,Thousand Visits,153,All of GB,Visits
S12000010,2010-2012,Count,Thousand Nights,358,England,Nights
S12000010,2014-2016,Count,million pounds (GBP),12,Scotland,Expenditure
S12000010,2015-2017,Count,million pounds (GBP),13,Scotland,Expenditure
S12000010,2012-2014,Count,Thousand Visits,117,Scotland,Visits
S12000010,2010-2012,Count,Thousand Nights,471,Scotland,Nights
S12000010,2016-2018,Count,Thousand Nights,740,All of GB,Nights
S12000010,2009-2011,Count,Thousand Visits,100,Scotland,Visits
S12000010,2011-2013,Count,Thousand Visits,78,England,Visits
S12000010,2014-2016,Count,Thousand Nights,760,All of GB,Nights
S12000010,2012-2014,Count,Thousand Nights,390,Scotland,Nights
S12000010,2013-2015,Count,Thousand Visits,83,England,Visits
S12000010,2014-2016,Count,million pounds (GBP),33,All of GB,Expenditure
S12000010,2011-2013,Count,Thousand Nights,887,All of GB,Nights
S12000010,2010-2012,Count,Thousand Visits,66,England,Visits
S12000010,2013-2015,Count,Thousand Nights,321,Scotland,Nights
S12000010,2017-2019,Count,million pounds (GBP),34,All of GB,Expenditure
S12000010,2014-2016,Count,Thousand Visits,172,All of GB,Visits
S12000010,2016-2018,Count,Thousand Visits,161,All of GB,Visits
S12000010,2013-2015,Count,Thousand Nights,600,All of GB,Nights
S12000010,2012-2014,Count,Thousand Nights,296,England,Nights
S12000010,2016-2018,Count,Thousand Nights,289,Scotland,Nights
S12000010,2009-2011,Count,Thousand Visits,42,England,Visits
S12000010,2012-2014,Count,Thousand Nights,701,All of GB,Nights
S12000010,2016-2018,Count,Thousand Nights,451,England,Nights
S12000010,2009-2011,Count,million pounds (GBP),20,All of GB,Expenditure
S12000010,2013-2015,Count,Thousand Nights,265,England,Nights
S12000010,2012-2014,Count,Thousand Visits,200,All of GB,Visits
S12000010,2015-2017,Count,Thousand Visits,70,Scotland,Visits
S12000010,2013-2015,Count,million pounds (GBP),32,All of GB,Expenditure
S12000010,2017-2019,Count,Thousand Nights,328,Scotland,Nights
S12000010,2017-2019,Count,Thousand Visits,94,Scotland,Visits
S12000010,2014-2016,Count,Thousand Nights,250,Scotland,Nights
S12000010,2009-2011,Count,Thousand Nights,264,England,Nights
S12000010,2010-2012,Count,million pounds (GBP),31,All of GB,Expenditure
S12000010,2016-2018,Count,Thousand Visits,87,Scotland,Visits
S12000010,2013-2015,Count,million pounds (GBP),17,England,Expenditure
S12000010,2015-2017,Count,million pounds (GBP),17,England,Expenditure
S12000010,2016-2018,Count,million pounds (GBP),16,Scotland,Expenditure
S12000010,2017-2019,Count,million pounds (GBP),18,Scotland,Expenditure
S12000010,2016-2018,Count,Thousand Visits,74,England,Visits
S12000010,2015-2017,Count,Thousand Nights,485,England,Nights
S12000010,2015-2017,Count,Thousand Nights,283,Scotland,Nights
S12000010,2011-2013,Count,million pounds (GBP),33,All of GB,Expenditure
S12000010,2011-2013,Count,million pounds (GBP),14,Scotland,Expenditure
S12000010,2016-2018,Count,million pounds (GBP),32,All of GB,Expenditure
S12000010,2009-2011,Count,million pounds (GBP),8,England,Expenditure
S12000010,2009-2011,Count,Thousand Nights,614,All of GB,Nights
S12000010,2014-2016,Count,Thousand Visits,69,Scotland,Visits
S12000010,2014-2016,Count,Thousand Nights,510,England,Nights
S12000010,2015-2017,Count,million pounds (GBP),31,All of GB,Expenditure
S12000010,2010-2012,Count,Thousand Nights,834,All of GB,Nights
S12000010,2011-2013,Count,Thousand Nights,438,Scotland,Nights
S12000010,2010-2012,Count,Thousand Visits,141,Scotland,Visits
S12000010,2011-2013,Count,Thousand Visits,217,All of GB,Visits
S12000010,2012-2014,Count,million pounds (GBP),16,England,Expenditure
S12000010,2013-2015,Count,Thousand Visits,83,Scotland,Visits
S12000010,2015-2017,Count,Thousand Visits,154,All of GB,Visits
S12000010,2013-2015,Count,million pounds (GBP),12,Scotland,Expenditure
S12000010,2014-2016,Count,million pounds (GBP),21,England,Expenditure
S12000010,2011-2013,Count,million pounds (GBP),16,England,Expenditure
S12000010,2017-2019,Count,Thousand Nights,506,All of GB,Nights
S12000010,2012-2014,Count,million pounds (GBP),14,Scotland,Expenditure
S12000010,2010-2012,Count,million pounds (GBP),14,England,Expenditure
S12000010,2009-2011,Count,million pounds (GBP),11,Scotland,Expenditure
S12000010,2009-2011,Count,Thousand Visits,146,All of GB,Visits
S12000010,2015-2017,Count,Thousand Visits,84,England,Visits
S12000010,2015-2017,Count,Thousand Nights,767,All of GB,Nights
S12000010,2009-2011,Count,Thousand Nights,345,Scotland,Nights
S12000010,2017-2019,Count,Thousand Visits,58,England,Visits
S12000010,2017-2019,Count,Thousand Nights,178,England,Nights
S12000010,2010-2012,Count,million pounds (GBP),16,Scotland,Expenditure
S12000010,2017-2019,Count,million pounds (GBP),16,England,Expenditure
S12000010,2014-2016,Count,Thousand Visits,102,England,Visits
S12000011,2012-2014,Count,million pounds (GBP),0,Scotland,Expenditure
S12000011,2009-2011,Count,Thousand Nights,3,England,Nights
S12000011,2013-2015,Count,Thousand Nights,0,All of GB,Nights
S12000011,2014-2016,Count,Thousand Visits,4,England,Visits
S12000011,2011-2013,Count,million pounds (GBP),1,Scotland,Expenditure
S12000011,2014-2016,Count,Thousand Nights,0,Scotland,Nights
S12000011,2014-2016,Count,Thousand Visits,0,Scotland,Visits
S12000011,2017-2019,Count,Thousand Visits,5,England,Visits
S12000011,2012-2014,Count,million pounds (GBP),0,England,Expenditure
S12000011,2013-2015,Count,million pounds (GBP),0,England,Expenditure
S12000011,2015-2017,Count,million pounds (GBP),0,England,Expenditure
S12000011,2010-2012,Count,Thousand Nights,15,All of GB,Nights
S12000011,2009-2011,Count,Thousand Nights,15,All of GB,Nights
S12000011,2012-2014,Count,Thousand Nights,0,All of GB,Nights
S12000011,2017-2019,Count,million pounds (GBP),0,Scotland,Expenditure
S12000011,2017-2019,Count,Thousand Visits,2,Scotland,Visits
S12000011,2014-2016,Count,million pounds (GBP),0,England,Expenditure
S12000011,2015-2017,Count,Thousand Visits,10,All of GB,Visits
S12000011,2017-2019,Count,Thousand Visits,9,All of GB,Visits
S12000011,2011-2013,Count,Thousand Visits,1,England,Visits
S12000011,2013-2015,Count,Thousand Visits,0,All of GB,Visits
S12000011,2016-2018,Count,Thousand Nights,11,England,Nights
S12000011,2016-2018,Count,million pounds (GBP),0,England,Expenditure
S12000011,2011-2013,Count,Thousand Nights,7,All of GB,Nights
S12000011,2012-2014,Count,Thousand Nights,0,Scotland,Nights
S12000011,2016-2018,Count,Thousand Visits,10,All of GB,Visits
S12000011,2015-2017,Count,Thousand Nights,17,All of GB,Nights
S12000011,2011-2013,Count,million pounds (GBP),0,England,Expenditure
S12000011,2017-2019,Count,Thousand Nights,14,All of GB,Nights
S12000011,2012-2014,Count,Thousand Visits,0,All of GB,Visits
S12000011,2010-2012,Count,Thousand Nights,13,Scotland,Nights
S12000011,2015-2017,Count,Thousand Visits,7,England,Visits
S12000011,2017-2019,Count,Thousand Nights,8,England,Nights
S12000011,2013-2015,Count,million pounds (GBP),0,Scotland,Expenditure
S12000011,2010-2012,Count,million pounds (GBP),1,Scotland,Expenditure
S12000011,2016-2018,Count,million pounds (GBP),1,All of GB,Expenditure
S12000011,2015-2017,Count,Thousand Nights,11,England,Nights
S12000011,2011-2013,Count,Thousand Nights,4,Scotland,Nights
S12000011,2011-2013,Count,Thousand Nights,3,England,Nights
S12000011,2013-2015,Count,Thousand Visits,0,England,Visits
S12000011,2016-2018,Count,Thousand Visits,7,England,Visits
S12000011,2014-2016,Count,Thousand Nights,8,All of GB,Nights
S12000011,2009-2011,Count,Thousand Visits,7,Scotland,Visits
S12000011,2009-2011,Count,million pounds (GBP),1,Scotland,Expenditure
S12000011,2016-2018,Count,million pounds (GBP),0,Scotland,Expenditure
S12000011,2015-2017,Count,million pounds (GBP),0,Scotland,Expenditure
S12000011,2014-2016,Count,million pounds (GBP),0,Scotland,Expenditure
S12000011,2012-2014,Count,Thousand Visits,0,Scotland,Visits
S12000011,2009-2011,Count,Thousand Visits,8,All of GB,Visits
S12000011,2016-2018,Count,Thousand Nights,17,All of GB,Nights
S12000011,2011-2013,Count,Thousand Visits,1,Scotland,Visits
S12000011,2014-2016,Count,million pounds (GBP),0,All of GB,Expenditure
S12000011,2010-2012,Count,Thousand Visits,8,All of GB,Visits
S12000011,2016-2018,Count,Thousand Visits,2,Scotland,Visits
S12000011,2013-2015,Count,million pounds (GBP),0,All of GB,Expenditure
S12000011,2011-2013,Count,million pounds (GBP),1,All of GB,Expenditure
S12000011,2010-2012,Count,Thousand Visits,7,Scotland,Visits
S12000011,2009-2011,Count,Thousand Nights,13,Scotland,Nights
S12000011,2014-2016,Count,Thousand Nights,8,England,Nights
S12000011,2017-2019,Count,Thousand Nights,2,Scotland,Nights
S12000011,2009-2011,Count,million pounds (GBP),1,All of GB,Expenditure
S12000011,2013-2015,Count,Thousand Visits,0,Scotland,Visits
S12000011,2010-2012,Count,million pounds (GBP),1,All of GB,Expenditure
S12000011,2014-2016,Count,Thousand Visits,4,All of GB,Visits
S12000011,2010-2012,Count,Thousand Nights,3,England,Nights
S12000011,2013-2015,Count,Thousand Nights,0,Scotland,Nights
S12000011,2010-2012,Count,million pounds (GBP),0,England,Expenditure
S12000011,2012-2014,Count,Thousand Visits,0,England,Visits
S12000011,2009-2011,Count,Thousand Visits,1,England,Visits
S12000011,2010-2012,Count,Thousand Visits,1,England,Visits
S12000011,2015-2017,Count,million pounds (GBP),1,All of GB,Expenditure
S12000011,2009-2011,Count,million pounds (GBP),0,England,Expenditure
S12000011,2011-2013,Count,Thousand Visits,3,All of GB,Visits
S12000011,2012-2014,Count,Thousand Nights,0,England,Nights
S12000011,2017-2019,Count,million pounds (GBP),1,All of GB,Expenditure
S12000011,2017-2019,Count,million pounds (GBP),0,England,Expenditure
S12000011,2012-2014,Count,million pounds (GBP),0,All of GB,Expenditure
S12000011,2015-2017,Count,Thousand Nights,2,Scotland,Nights
S12000011,2016-2018,Count,Thousand Nights,2,Scotland,Nights
S12000011,2013-2015,Count,Thousand Nights,0,England,Nights
S12000011,2015-2017,Count,Thousand Visits,2,Scotland,Visits
S12000013,2015-2017,Count,Thousand Visits,87,Scotland,Visits
S12000013,2011-2013,Count,million pounds (GBP),16,England,Expenditure
S12000013,2015-2017,Count,Thousand Nights,363,Scotland,Nights
S12000013,2013-2015,Count,Thousand Nights,273,England,Nights
S12000013,2010-2012,Count,Thousand Nights,232,England,Nights
S12000013,2011-2013,Count,Thousand Nights,237,England,Nights
S12000013,2014-2016,Count,Thousand Nights,351,England,Nights
S12000013,2016-2018,Count,Thousand Nights,547,England,Nights
S12000013,2015-2017,Count,million pounds (GBP),18,England,Expenditure
S12000013,2010-2012,Count,Thousand Nights,341,Scotland,Nights
S12000013,2012-2014,Count,Thousand Nights,681,All of GB,Nights
S12000013,2014-2016,Count,Thousand Visits,59,England,Visits
S12000013,2013-2015,Count,Thousand Nights,681,All of GB,Nights
S12000013,2009-2011,Count,Thousand Nights,453,All of GB,Nights
S12000013,2012-2014,Count,million pounds (GBP),17,England,Expenditure
S12000013,2011-2013,Count,Thousand Nights,599,All of GB,Nights
S12000013,2010-2012,Count,Thousand Nights,588,All of GB,Nights
S12000013,2014-2016,Count,Thousand Nights,663,All of GB,Nights
S12000013,2012-2014,Count,Thousand Visits,112,All of GB,Visits
S12000013,2017-2019,Count,Thousand Nights,1212,All of GB,Nights
S12000013,2015-2017,Count,Thousand Nights,363,England,Nights
S12000013,2012-2014,Count,Thousand Visits,35,England,Visits
S12000013,2015-2017,Count,Thousand Nights,726,All of GB,Nights
S12000013,2014-2016,Count,Thousand Nights,293,Scotland,Nights
S12000013,2009-2011,Count,Thousand Nights,249,Scotland,Nights
S12000013,2010-2012,Count,Thousand Visits,95,All of GB,Visits
S12000013,2013-2015,Count,Thousand Nights,390,Scotland,Nights
S12000013,2016-2018,Count,million pounds (GBP),18,England,Expenditure
S12000013,2016-2018,Count,Thousand Nights,984,All of GB,Nights
S12000013,2010-2012,Count,Thousand Visits,35,England,Visits
S12000013,2012-2014,Count,Thousand Nights,425,Scotland,Nights
S12000013,2017-2019,Count,Thousand Nights,541,England,Nights
S12000013,2017-2019,Count,Thousand Nights,646,Scotland,Nights
S12000013,2012-2014,Count,Thousand Nights,238,England,Nights
S12000013,2012-2014,Count,Thousand Visits,75,Scotland,Visits
S12000013,2009-2011,Count,Thousand Visits,35,England,Visits
S12000013,2009-2011,Count,Thousand Nights,190,England,Nights
S12000013,2016-2018,Count,Thousand Nights,411,Scotland,Nights
S12000013,2011-2013,Count,Thousand Nights,347,Scotland,Nights
S12000013,2010-2012,Count,million pounds (GBP),33,All of GB,Expenditure
S12000013,2011-2013,Count,Thousand Visits,60,Scotland,Visits
S12000013,2009-2011,Count,Thousand Visits,46,Scotland,Visits
S12000013,2009-2011,Count,million pounds (GBP),23,All of GB,Expenditure
S12000013,2013-2015,Count,Thousand Visits,68,Scotland,Visits
S12000013,2016-2018,Count,Thousand Visits,105,Scotland,Visits
S12000013,2011-2013,Count,million pounds (GBP),36,All of GB,Expenditure
S12000013,2010-2012,Count,Thousand Visits,57,Scotland,Visits
S12000013,2014-2016,Count,million pounds (GBP),37,All of GB,Expenditure
S12000013,2016-2018,Count,Thousand Visits,61,England,Visits
S12000013,2017-2019,Count,Thousand Visits,201,All of GB,Visits
S12000013,2014-2016,Count,Thousand Visits,121,All of GB,Visits
S12000013,2012-2014,Count,million pounds (GBP),44,All of GB,Expenditure
S12000013,2016-2018,Count,million pounds (GBP),38,All of GB,Expenditure
S12000013,2017-2019,Count,million pounds (GBP),62,All of GB,Expenditure
S12000013,2011-2013,Count,Thousand Visits,35,England,Visits
S12000013,2013-2015,Count,million pounds (GBP),41,All of GB,Expenditure
S12000013,2015-2017,Count,Thousand Visits,54,England,Visits
S12000013,2015-2017,Count,million pounds (GBP),33,All of GB,Expenditure
S12000013,2016-2018,Count,Thousand Visits,168,All of GB,Visits
S12000013,2016-2018,Count,million pounds (GBP),18,Scotland,Expenditure
S12000013,2014-2016,Count,million pounds (GBP),13,Scotland,Expenditure
S12000013,2017-2019,Count,million pounds (GBP),37,Scotland,Expenditure
S12000013,2012-2014,Count,million pounds (GBP),25,Scotland,Expenditure
S12000013,2017-2019,Count,Thousand Visits,146,Scotland,Visits
S12000013,2009-2011,Count,million pounds (GBP),13,Scotland,Expenditure
S12000013,2010-2012,Count,million pounds (GBP),16,Scotland,Expenditure
S12000013,2015-2017,Count,Thousand Visits,141,All of GB,Visits
S12000013,2014-2016,Count,Thousand Visits,60,Scotland,Visits
S12000013,2013-2015,Count,Thousand Visits,45,England,Visits
S12000013,2013-2015,Count,million pounds (GBP),21,Scotland,Expenditure
S12000013,2009-2011,Count,million pounds (GBP),9,England,Expenditure
S12000013,2015-2017,Count,million pounds (GBP),15,Scotland,Expenditure
S12000013,2011-2013,Count,Thousand Visits,98,All of GB,Visits
S12000013,2010-2012,Count,million pounds (GBP),16,England,Expenditure
S12000013,2011-2013,Count,million pounds (GBP),19,Scotland,Expenditure
S12000013,2017-2019,Count,million pounds (GBP),23,England,Expenditure
S12000013,2009-2011,Count,Thousand Visits,84,All of GB,Visits
S12000013,2017-2019,Count,Thousand Visits,54,England,Visits
S12000013,2013-2015,Count,Thousand Visits,115,All of GB,Visits
S12000013,2013-2015,Count,million pounds (GBP),18,England,Expenditure
S12000013,2014-2016,Count,million pounds (GBP),20,England,Expenditure
S12000014,2014-2016,Count,Thousand Visits,217,All of GB,Visits
S12000014,2016-2018,Count,million pounds (GBP),14,Scotland,Expenditure
S12000014,2011-2013,Count,Thousand Nights,130,Scotland,Nights
S12000014,2014-2016,Count,million pounds (GBP),14,England,Expenditure
S12000014,2012-2014,Count,million pounds (GBP),17,All of GB,Expenditure
S12000014,2015-2017,Count,Thousand Visits,54,England,Visits
S12000014,2011-2013,Count,Thousand Nights,320,All of GB,Nights
S12000014,2016-2018,Count,Thousand Nights,602,All of GB,Nights
S12000014,2016-2018,Count,Thousand Visits,65,England,Visits
S12000014,2011-2013,Count,million pounds (GBP),18,All of GB,Expenditure
S12000014,2013-2015,Count,Thousand Visits,49,Scotland,Visits
S12000014,2011-2013,Count,Thousand Nights,190,England,Nights
S12000014,2009-2011,Count,Thousand Visits,146,All of GB,Visits
S12000014,2010-2012,Count,Thousand Nights,150,Scotland,Nights
S12000014,2010-2012,Count,Thousand Nights,289,England,Nights
S12000014,2015-2017,Count,Thousand Nights,221,England,Nights
S12000014,2010-2012,Count,Thousand Nights,440,All of GB,Nights
S12000014,2014-2016,Count,Thousand Visits,151,Scotland,Visits
S12000014,2009-2011,Count,Thousand Visits,83,England,Visits
S12000014,2010-2012,Count,million pounds (GBP),24,All of GB,Expenditure
S12000014,2017-2019,Count,Thousand Visits,98,All of GB,Visits
S12000014,2017-2019,Count,million pounds (GBP),21,All of GB,Expenditure
S12000014,2012-2014,Count,Thousand Nights,106,Scotland,Nights
S12000014,2016-2018,Count,Thousand Nights,318,Scotland,Nights
S12000014,2013-2015,Count,Thousand Visits,104,All of GB,Visits
S12000014,2009-2011,Count,million pounds (GBP),23,All of GB,Expenditure
S12000014,2009-2011,Count,Thousand Nights,112,Scotland,Nights
S12000014,2017-2019,Count,Thousand Nights,330,All of GB,Nights
S12000014,2011-2013,Count,Thousand Visits,64,Scotland,Visits
S12000014,2011-2013,Count,Thousand Visits,62,England,Visits
S12000014,2012-2014,Count,Thousand Visits,54,Scotland,Visits
S12000014,2010-2012,Count,Thousand Visits,154,All of GB,Visits
S12000014,2015-2017,Count,Thousand Visits,215,All of GB,Visits
S12000014,2013-2015,Count,Thousand Visits,53,England,Visits
S12000014,2016-2018,Count,Thousand Visits,207,All of GB,Visits
S12000014,2014-2016,Count,million pounds (GBP),29,All of GB,Expenditure
S12000014,2013-2015,Count,million pounds (GBP),15,All of GB,Expenditure
S12000014,2015-2017,Count,Thousand Nights,597,All of GB,Nights
S12000014,2015-2017,Count,Thousand Visits,158,Scotland,Visits
S12000014,2010-2012,Count,Thousand Visits,76,Scotland,Visits
S12000014,2017-2019,Count,Thousand Nights,114,Scotland,Nights
S12000014,2016-2018,Count,million pounds (GBP),30,All of GB,Expenditure
S12000014,2010-2012,Count,Thousand Visits,78,England,Visits
S12000014,2012-2014,Count,Thousand Visits,60,England,Visits
S12000014,2014-2016,Count,Thousand Nights,353,Scotland,Nights
S12000014,2010-2012,Count,million pounds (GBP),10,Scotland,Expenditure
S12000014,2015-2017,Count,million pounds (GBP),29,All of GB,Expenditure
S12000014,2014-2016,Count,million pounds (GBP),14,Scotland,Expenditure
S12000014,2014-2016,Count,Thousand Nights,225,England,Nights
S12000014,2016-2018,Count,Thousand Visits,139,Scotland,Visits
S12000014,2016-2018,Count,Thousand Nights,274,England,Nights
S12000014,2017-2019,Count,Thousand Nights,204,England,Nights
S12000014,2013-2015,Count,Thousand Nights,85,Scotland,Nights
S12000014,2014-2016,Count,Thousand Visits,60,England,Visits
S12000014,2012-2014,Count,Thousand Visits,118,All of GB,Visits
S12000014,2015-2017,Count,million pounds (GBP),16,Scotland,Expenditure
S12000014,2013-2015,Count,Thousand Nights,161,England,Nights
S12000014,2014-2016,Count,Thousand Nights,598,All of GB,Nights
S12000014,2017-2019,Count,Thousand Visits,42,Scotland,Visits
S12000014,2017-2019,Count,Thousand Visits,53,England,Visits
S12000014,2012-2014,Count,Thousand Nights,177,England,Nights
S12000014,2013-2015,Count,million pounds (GBP),10,England,Expenditure
S12000014,2009-2011,Count,million pounds (GBP),19,England,Expenditure
S12000014,2016-2018,Count,million pounds (GBP),16,England,Expenditure
S12000014,2017-2019,Count,million pounds (GBP),11,England,Expenditure
S12000014,2012-2014,Count,million pounds (GBP),9,Scotland,Expenditure
S12000014,2015-2017,Count,million pounds (GBP),14,England,Expenditure
S12000014,2011-2013,Count,million pounds (GBP),9,Scotland,Expenditure
S12000014,2009-2011,Count,Thousand Nights,337,England,Nights
S12000014,2013-2015,Count,Thousand Nights,256,All of GB,Nights
S12000014,2009-2011,Count,million pounds (GBP),5,Scotland,Expenditure
S12000014,2013-2015,Count,million pounds (GBP),4,Scotland,Expenditure
S12000014,2012-2014,Count,Thousand Nights,293,All of GB,Nights
S12000014,2015-2017,Count,Thousand Nights,366,Scotland,Nights
S12000014,2012-2014,Count,million pounds (GBP),8,England,Expenditure
S12000014,2009-2011,Count,Thousand Visits,63,Scotland,Visits
S12000014,2009-2011,Count,Thousand Nights,449,All of GB,Nights
S12000014,2011-2013,Count,Thousand Visits,126,All of GB,Visits
S12000014,2011-2013,Count,million pounds (GBP),9,England,Expenditure
S12000014,2010-2012,Count,million pounds (GBP),14,England,Expenditure
S12000014,2017-2019,Count,million pounds (GBP),10,Scotland,Expenditure
S12000017,2013-2015,Count,million pounds (GBP),491,All of GB,Expenditure
S12000017,2009-2011,Count,million pounds (GBP),372,All of GB,Expenditure
S12000017,2013-2015,Count,Thousand Visits,707,England,Visits
S12000017,2017-2019,Count,Thousand Visits,1175,Scotland,Visits
S12000017,2016-2018,Count,million pounds (GBP),219,Scotland,Expenditure
S12000017,2011-2013,Count,Thousand Nights,3266,England,Nights
S12000017,2012-2014,Count,Thousand Visits,1095,Scotland,Visits
S12000017,2010-2012,Count,million pounds (GBP),189,England,Expenditure
S12000017,2009-2011,Count,million pounds (GBP),206,England,Expenditure
S12000017,2011-2013,Count,Thousand Visits,631,England,Visits
S12000017,2015-2017,Count,Thousand Nights,3482,Scotland,Nights
S12000017,2011-2013,Count,million pounds (GBP),197,Scotland,Expenditure
S12000017,2012-2014,Count,Thousand Visits,607,England,Visits
S12000017,2012-2014,Count,Thousand Nights,3060,England,Nights
S12000017,2016-2018,Count,Thousand Visits,1709,All of GB,Visits
S12000017,2013-2015,Count,Thousand Nights,3362,Scotland,Nights
S12000017,2014-2016,Count,million pounds (GBP),220,Scotland,Expenditure
S12000017,2016-2018,Count,Thousand Visits,979,Scotland,Visits
S12000017,2016-2018,Count,Thousand Nights,3593,England,Nights
S12000017,2017-2019,Count,Thousand Nights,3752,England,Nights
S12000017,2015-2017,Count,million pounds (GBP),229,Scotland,Expenditure
S12000017,2013-2015,Count,Thousand Visits,1721,All of GB,Visits
S12000017,2009-2011,Count,Thousand Visits,706,England,Visits
S12000017,2012-2014,Count,million pounds (GBP),210,England,Expenditure
S12000017,2012-2014,Count,million pounds (GBP),212,Scotland,Expenditure
S12000017,2017-2019,Count,Thousand Nights,4023,Scotland,Nights
S12000017,2016-2018,Count,Thousand Visits,707,England,Visits
S12000017,2013-2015,Count,million pounds (GBP),215,Scotland,Expenditure
S12000017,2011-2013,Count,million pounds (GBP),419,All of GB,Expenditure
S12000017,2015-2017,Count,Thousand Nights,3524,England,Nights
